name,price,link,company,product_seq,image,form_factor,interface,protocol,volume,memory_type,nand,ram_type,ram_mounted,sequential_read,sequential_write,read_iops,write_iops,heatsink,rgbled,as_year,support_option,reg_date,bookmark
SK하이닉스 Platinum P41 M.2 NVMe,129000.0,https://prod.danawa.com/info/?pcode=17001050&cate=112760,SK하이닉스,17001050,//img.danawa.com/prod_img/500000/050/001/img/17001050_1.jpg?shrink=330:*&_v=20230713080936,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,DDR4,DRAM 탑재,"7,000","6,500","1,400","1,300",0,0,5,31,202205,
삼성전자 PM9A1 M.2 NVMe 병행수입,87640.0,https://prod.danawa.com/info/?pcode=13276568&cate=112760,삼성전자,13276568,//img.danawa.com/prod_img/500000/568/276/img/13276568_1.jpg?shrink=330:*&_v=20221017171819,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,DRAM 탑재,"7,000","5,100","1,000",850,0,0,nan,0,202102,
마이크론 Crucial P5 Plus M.2 NVMe 대원씨티에스,83190.0,https://prod.danawa.com/info/?pcode=14905265&cate=112760,마이크론,14905265,//img.danawa.com/prod_img/500000/265/905/img/14905265_1.jpg?shrink=330:*&_v=20221012130150,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,1TB,TLC(기타),3D낸드,확인요망,DRAM 탑재,"6,600","5,000",630,700,0,0,5,57,202108,
삼성전자 980 PRO M.2 NVMe,174590.0,https://prod.danawa.com/info/?pcode=13538642&cate=112760,삼성전자,13538642,//img.danawa.com/prod_img/500000/642/538/img/13538642_1.jpg?shrink=330:*&_v=20230804161114,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3c,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"7,000","5,100","1,000","1,000",0,0,5,27,202103,
SK하이닉스 Gold P31 M.2 NVMe,47940.0,https://prod.danawa.com/info/?pcode=13161353&cate=112760,SK하이닉스,13161353,//img.danawa.com/prod_img/500000/353/161/img/13161353_1.jpg?shrink=330:*&_v=20230103133110,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,500GB,TLC(기타),3D낸드,DDR4,DRAM 탑재,"3,500","3,200",570,600,0,0,5,13,202101,
삼성전자 870 EVO,40470.0,https://prod.danawa.com/info/?pcode=13190519&cate=112760,삼성전자,13190519,//img.danawa.com/prod_img/500000/519/190/img/13190519_1.jpg?shrink=330:*&_v=20210804095106,6.4cm(2.5형),SATA3 (6Gb/s),,500GB,TLC(기타),3D낸드,DDR4 512MB,DRAM 탑재,560,530,98,88,0,0,5,11,202101,
삼성전자 970 EVO Plus M.2 NVMe,80990.0,https://prod.danawa.com/info/?pcode=7136788&cate=112760,삼성전자,7136788,//img.danawa.com/prod_img/500000/788/136/img/7136788_1.jpg?shrink=330:*&_v=20220830162012,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(토글),3D낸드,DDR4 1GB,DRAM 탑재,"3,500","3,300",600,550,0,0,5,27,201901,
마이크론 Crucial MX500 대원씨티에스,45410.0,https://prod.danawa.com/info/?pcode=5791864&cate=112760,마이크론 Crucial,5791864,//img.danawa.com/prod_img/500000/864/791/img/5791864_1.jpg?shrink=330:*&_v=20221221095831,6.4cm(2.5형),SATA3 (6Gb/s),,500GB,TLC(기타),3D낸드,,DRAM 탑재,560,510,95,90,0,0,5,59,201801,
솔리다임 P41 PLUS M.2 NVMe,63970.0,https://prod.danawa.com/info/?pcode=17706038&cate=112760,솔리다임,17706038,//img.danawa.com/prod_img/500000/038/706/img/17706038_1.jpg?shrink=330:*&_v=20230216130422,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,1TB,QLC,3D낸드,,,"4,125","2,950",390,540,0,0,5,4,202208,
타무즈 GK300,23760.0,https://prod.danawa.com/info/?pcode=9496839&cate=112760,타무즈,9496839,//img.danawa.com/prod_img/500000/839/496/img/9496839_1.jpg?shrink=330:*&_v=20210118143841,6.4cm(2.5형),SATA3 (6Gb/s),,256GB,TLC(토글),3D낸드,,,550,500,90,85,0,0,3,47,201909,
삼성전자 990 PRO M.2 NVMe,212370.0,https://prod.danawa.com/info/?pcode=18297722&cate=112760,삼성전자,18297722,//img.danawa.com/prod_img/500000/722/297/img/18297722_1.jpg?shrink=330:*&_v=20230210153410,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 2.0,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"7,450","6,900","1,400","1,550",0,0,5,27,202211,
삼성전자 870 QVO,439620.0,https://prod.danawa.com/info/?pcode=11711015&cate=112760,삼성전자,11711015,//img.danawa.com/prod_img/500000/015/711/img/11711015_1.jpg?shrink=330:*&_v=20200828125657,6.4cm(2.5형),SATA3 (6Gb/s),,8TB,QLC,3D낸드,DDR4 8GB,DRAM 탑재,560,530,98,88,0,0,3,59,202006,
마이크론 Crucial P3 M.2 NVMe 대원씨티에스,251960.0,https://prod.danawa.com/info/?pcode=17454560&cate=112760,마이크론,17454560,//img.danawa.com/prod_img/500000/560/454/img/17454560_1.jpg?shrink=330:*&_v=20221206161928,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe,4TB,QLC,3D낸드,,,"3,500","3,000",nan,nan,0,0,5,0,202207,
Western Digital WD Blue SN570 M.2 NVMe,39600.0,https://prod.danawa.com/info/?pcode=15796589&cate=112760,Western Digital,15796589,//img.danawa.com/prod_img/500000/589/796/img/15796589_1.jpg?shrink=330:*&_v=20211206163612,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,500GB,TLC(기타),3D낸드,,,"3,500","2,300",360,390,0,0,5,63,202111,
삼성전자 980 M.2 NVMe,44680.0,https://prod.danawa.com/info/?pcode=13562693&cate=112760,삼성전자,13562693,//img.danawa.com/prod_img/500000/693/562/img/13562693_1.jpg?shrink=330:*&_v=20210422125316,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,500GB,TLC(기타),,,,"3,100","2,600",400,470,0,0,5,91,202103,
Western Digital WD BLACK SN770 M.2 NVMe,47170.0,https://prod.danawa.com/info/?pcode=16587548&cate=112760,Western Digital,16587548,//img.danawa.com/prod_img/500000/548/587/img/16587548_1.jpg?shrink=330:*&_v=20220928141521,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,500GB,TLC(기타),3D낸드,,,"5,000","4,000",460,800,0,0,5,9,202203,
Seagate 파이어쿠다 540 M.2 NVMe,499000.0,https://prod.danawa.com/info/?pcode=20687681&cate=112760,Seagate,20687681,//img.danawa.com/prod_img/500000/681/687/img/20687681_1.jpg?shrink=330:*&_v=20230705102945,M.2 (2280),PCIe5.0x4 (128GT/s),NVMe 2.0,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"10,000","10,000","1,490","1,500",0,0,5,9,202306,
삼성전자 990 PRO 히트싱크 M.2 NVMe,236720.0,https://prod.danawa.com/info/?pcode=20600147&cate=112760,삼성전자,20600147,//img.danawa.com/prod_img/500000/147/600/img/20600147_1.jpg?shrink=330:*&_v=20230619192147,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 2.0,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"7,450","6,900","1,400","1,550",0,0,5,27,202306,
인텔 SOLIDIGM 670p M.2 NVMe,60960.0,https://prod.danawa.com/info/?pcode=14019083&cate=112760,인텔,14019083,//img.danawa.com/prod_img/500000/083/019/img/14019083_1.jpg?shrink=330:*&_v=20220607144709,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe,1TB,QLC,3D낸드,,,"3,500","2,500",220,330,0,0,5,0,202104,
마이크론 Crucial P3 Plus M.2 NVMe 대원씨티에스,295680.0,https://prod.danawa.com/info/?pcode=17454743&cate=112760,마이크론,17454743,//img.danawa.com/prod_img/500000/743/454/img/17454743_1.jpg?shrink=330:*&_v=20221206161709,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,4TB,QLC,3D낸드,,,"4,800","4,100",nan,nan,0,0,5,0,202207,
타무즈 GKV700 M.2 NVMe,39200.0,https://prod.danawa.com/info/?pcode=10764075&cate=112760,타무즈,10764075,//img.danawa.com/prod_img/500000/075/764/img/10764075_1.jpg?shrink=330:*&_v=20201016110938,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe,512GB,TLC(기타),3D낸드,,,"2,100","1,700",nan,nan,0,0,5,47,202003,
ADATA XPG SPECTRIX S40G M.2 NVMe,45470.0,https://prod.danawa.com/info/?pcode=9245688&cate=112760,ADATA,9245688,//img.danawa.com/prod_img/500000/688/245/img/9245688_1.jpg?shrink=330:*&_v=20200723141303,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,256GB,TLC(기타),3D낸드,,DRAM 탑재,"3,500","1,200",210,230,0,1,5,36,201908,
Western Digital WD BLACK SN850X M.2 NVMe,108420.0,https://prod.danawa.com/info/?pcode=17788487&cate=112760,Western Digital,17788487,//img.danawa.com/prod_img/500000/487/788/img/17788487_1.jpg?shrink=330:*&_v=20220906102756,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,,DRAM 탑재,"7,300","6,300","1,200","1,100",0,0,5,9,202209,
삼성전자 PM991a M.2 NVMe 벌크,14490.0,https://prod.danawa.com/info/?pcode=14949881&cate=112760,삼성전자,14949881,//img.danawa.com/prod_img/500000/881/949/img/14949881_1.jpg?shrink=330:*&_v=20210809105057,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe,256GB,TLC(기타),3D낸드,,,"3,100","1,300",nan,nan,0,0,nan,0,202106,
Seagate 파이어쿠다 530 M.2 NVMe,495000.0,https://prod.danawa.com/info/?pcode=14803400&cate=112760,Seagate,14803400,//img.danawa.com/prod_img/500000/400/803/img/14803400_1.jpg?shrink=330:*&_v=20230717090856,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,4TB,TLC(기타),3D낸드,DDR4,,"7,300","6,900","1,000","1,000",0,0,5,27,202107,
PATRIOT P300 M.2 NVMe,52420.0,https://prod.danawa.com/info/?pcode=12825845&cate=112760,PATRIOT,12825845,//img.danawa.com/prod_img/500000/845/825/img/12825845_1.jpg?shrink=330:*&_v=20230703183018,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,,"3,200","2,800",290,260,0,0,5,107,202012,
삼성전자 PM9A1 M.2 NVMe 벌크,88190.0,https://prod.danawa.com/info/?pcode=13486118&cate=112760,삼성전자,13486118,//img.danawa.com/prod_img/500000/118/486/img/13486118_1.jpg?shrink=330:*&_v=20230512144353,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,DRAM 탑재,"7,000","5,100","1,000",850,0,0,nan,0,202103,
Western Digital WD BLACK SN850P 히트싱크 for PS5 M.2 NVMe,299000.0,https://prod.danawa.com/info/?pcode=21429272&cate=112760,Western Digital,21429272,//img.danawa.com/prod_img/500000/272/429/img/21429272_1.jpg?shrink=330:*&_v=20230707085346,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,2TB,TLC(기타),3D낸드,,,"7,300","6,600","1,200","1,100",0,0,5,9,202307,
Western Digital WD BLACK SN850X 히트싱크 M.2 NVMe,229580.0,https://prod.danawa.com/info/?pcode=17790299&cate=112760,Western Digital,17790299,//img.danawa.com/prod_img/500000/299/790/img/17790299_1.jpg?shrink=330:*&_v=20230106085414,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,TLC(기타),3D낸드,,DRAM 탑재,"7,300","6,600","1,200","1,100",0,0,5,9,202209,
ADATA LEGEND 840 M.2 NVMe,41000.0,https://prod.danawa.com/info/?pcode=19072685&cate=112760,ADATA,19072685,//img.danawa.com/prod_img/500000/685/072/img/19072685_1.jpg?shrink=330:*&_v=20230220133028,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,512GB,,3D낸드,,,"5,000","3,000",520,450,0,0,5,68,202302,
실리콘파워 P44 UD85 M.2 NVMe 서린,144990.0,https://prod.danawa.com/info/?pcode=20231660&cate=112760,실리콘파워,20231660,//img.danawa.com/prod_img/500000/660/231/img/20231660_1.jpg?shrink=330:*&_v=20230518170956,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,TLC(기타),3D낸드,,,3.600,2.800,nan,nan,0,0,5,47,202305,
Western Digital WD BLACK SN850P 히트싱크 for PS5 M.2 NVMe 해외구매,193200.0,https://prod.danawa.com/info/?pcode=21572813&cate=112760,Western Digital,21572813,//img.danawa.com/prod_img/500000/813/572/img/21572813_1.jpg?shrink=330:*&_v=20230717160717,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,1TB,TLC(기타),3D낸드,,,"7,300","6,300",800,"1,100",0,0,nan,9,202307,
ADATA LEGEND 960 M.2 NVMe,115000.0,https://prod.danawa.com/info/?pcode=20146127&cate=112760,ADATA,20146127,//img.danawa.com/prod_img/500000/127/146/img/20146127_1.jpg?shrink=330:*&_v=20230626163852,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,1TB,,3D낸드,확인요망,DRAM 탑재,"7,400","6,000",730,610,0,0,5,4,202305,
타무즈 GKV750 M.2 NVMe,111490.0,https://prod.danawa.com/info/?pcode=20201432&cate=112760,타무즈,20201432,//img.danawa.com/prod_img/500000/432/201/img/20201432_1.jpg?shrink=330:*&_v=20230517111416,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,2TB,QLC,3D낸드,,,"3,500","2,680",320,270,0,0,3,47,202305,
타무즈 GK350,48260.0,https://prod.danawa.com/info/?pcode=20255984&cate=112760,타무즈,20255984,//img.danawa.com/prod_img/500000/984/255/img/20255984_1.jpg?shrink=330:*&_v=20230522091623,6.4cm(2.5형),SATA3 (6Gb/s),,1TB,QLC,3D낸드,,,550,510,54,75,0,0,3,61,202305,
Seagate 뉴 파이어쿠다 520 M.2 NVMe,58370.0,https://prod.danawa.com/info/?pcode=18749744&cate=112760,Seagate,18749744,//img.danawa.com/prod_img/500000/744/749/img/18749744_1.jpg?shrink=330:*&_v=20230113111557,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,500GB,TLC(기타),3D낸드,,,"5,000","3,900",460,900,0,0,5,77,202301,
마이크론 2400 M.2 2230 NVMe 대원씨티에스,174790.0,https://prod.danawa.com/info/?pcode=19103192&cate=112760,마이크론,19103192,//img.danawa.com/prod_img/500000/192/103/img/19103192_1.jpg?shrink=330:*&_v=20230512101501,M.2 (2230),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,QLC,3D낸드,,,"4,500","4,000",650,700,0,0,3,8,202302,
마이크론 Crucial T700 M.2 NVMe 대원씨티에스,843130.0,https://prod.danawa.com/info/?pcode=20356451&cate=112760,마이크론,20356451,//img.danawa.com/prod_img/500000/451/356/img/20356451_1.jpg?shrink=330:*&_v=20230531110526,M.2 (2280),PCIe5.0x4 (128GT/s),NVMe 2.0,4TB,TLC(기타),3D낸드,DDR4,DRAM 탑재,"12,400","11,800","1,500","1,500",0,0,5,43,202305,
ADATA XPG SX8200 Pro M.2 NVMe,119610.0,https://prod.danawa.com/info/?pcode=9245814&cate=112760,ADATA,9245814,//img.danawa.com/prod_img/500000/814/245/img/9245814_1.jpg?shrink=330:*&_v=20201110112201,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,2TB,TLC(기타),3D낸드,,DRAM 탑재,"3,500","3,000",390,380,0,0,5,36,201909,
Seagate 아이언울프 525 M.2 NVMe,299270.0,https://prod.danawa.com/info/?pcode=15756104&cate=112760,Seagate,15756104,//img.danawa.com/prod_img/500000/104/756/img/15756104_1.jpg?shrink=330:*&_v=20211123132013,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,,,"5,000","4,400",760,700,0,0,5,11,202111,
Seagate 아이언울프 프로 125 SSD,649000.0,https://prod.danawa.com/info/?pcode=12233471&cate=112760,Seagate,12233471,//img.danawa.com/prod_img/500000/471/233/img/12233471_1.jpg?shrink=330:*&_v=20210205153025,6.4cm(2.5형),SATA3 (6Gb/s),,1.92TB,TLC(기타),3D낸드,,,545,520,96,30,0,0,5,2,202009,
BIOSTAR M760 M.2 NVMe,22560.0,https://prod.danawa.com/info/?pcode=18338426&cate=112760,BIOSTAR,18338426,//img.danawa.com/prod_img/500000/426/338/img/18338426_1.jpg?shrink=330:*&_v=20221121191505,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.4,256GB,TLC(기타),3D낸드,,,"3,300","1,350",86,240,0,0,3,41,202211,
Western Digital WD GREEN SSD,26030.0,https://prod.danawa.com/info/?pcode=4593708&cate=112760,Western Digital WD,4593708,//img.danawa.com/prod_img/500000/708/593/img/4593708_1.jpg?shrink=330:*&_v=20220526174840,6.4cm(2.5형),SATA3 (6Gb/s),,240GB,TLC(기타),,,,545,nan,nan,nan,0,0,3,9,201610,
PNY CS900 마이크로닉스,51790.0,https://prod.danawa.com/info/?pcode=19535768&cate=112760,PNY,19535768,//img.danawa.com/prod_img/500000/768/535/img/19535768_1.jpg?shrink=330:*&_v=20230328141510,6.4cm(2.5형),SATA3 (6Gb/s),,1TB,TLC(기타),3D낸드,,,535,515,nan,nan,0,0,3,61,202303,
GIGABYTE AORUS Gen4 7300 M.2 NVMe 제이씨현,114000.0,https://prod.danawa.com/info/?pcode=19753562&cate=112760,GIGABYTE,19753562,//img.danawa.com/prod_img/500000/562/753/img/19753562_1.jpg?shrink=330:*&_v=20230717091010,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,DDR4 1GB,DRAM 탑재,7.300,"6,000",750,"1,000",0,0,5,9,202304,
삼성전자 980 PRO 히트싱크 M.2 NVMe,198290.0,https://prod.danawa.com/info/?pcode=16290596&cate=112760,삼성전자,16290596,//img.danawa.com/prod_img/500000/596/290/img/16290596_1.jpg?shrink=330:*&_v=20230418124849,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3c,2TB,TLC(기타),3D낸드,DDR4 2GB,DRAM 탑재,"7,000","5,100","1,000","1,000",0,0,5,27,202110,
Seagate 파이어쿠다 530 히트싱크 M.2 NVMe,525000.0,https://prod.danawa.com/info/?pcode=14958794&cate=112760,Seagate,14958794,//img.danawa.com/prod_img/500000/794/958/img/14958794_1.jpg?shrink=330:*&_v=20221012132713,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,4TB,TLC(기타),3D낸드,DDR4,,"7,300","6,900","1,000","1,000",0,0,5,27,202108,
GIGABYTE SSD 제이씨현,62600.0,https://prod.danawa.com/info/?pcode=12888908&cate=112760,GIGABYTE,12888908,//img.danawa.com/prod_img/500000/908/888/img/12888908_1.jpg?shrink=330:*&_v=20220323154140,6.4cm(2.5형),SATA3 (6Gb/s),,1TB,TLC(기타),,,,550,500,75,85,0,0,3,9,201902,
COLORFUL CN700 M.2 NVMe 디앤디컴,127410.0,https://prod.danawa.com/info/?pcode=19047569&cate=112760,COLORFUL,19047569,//img.danawa.com/prod_img/500000/569/047/img/19047569_1.jpg?shrink=330:*&_v=20230216144133,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe,2TB,TLC(기타),3D낸드,,,"4,800","4,400",nan,nan,0,0,3,11,202302,
PNY CS1031 Gen3 M.2 NVMe 제이씨현,97270.0,https://prod.danawa.com/info/?pcode=19666160&cate=112760,PNY,19666160,//img.danawa.com/prod_img/500000/160/666/img/19666160_1.jpg?shrink=330:*&_v=20230417133642,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,2TB,QLC,3D낸드,,,"2,400","1,750",nan,nan,0,0,5,73,202304,
CORSAIR MP600 MINI M.2 2230 NVMe,118350.0,https://prod.danawa.com/info/?pcode=20030681&cate=112760,CORSAIR,20030681,//img.danawa.com/prod_img/500000/681/030/img/20030681_1.jpg?shrink=330:*&_v=20230509091954,M.2 (2230),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,,,"4,800","4,800",850,"1,100",0,0,5,64,202305,
GIGABYTE SSD 피씨디렉트,19780.0,https://prod.danawa.com/info/?pcode=6461742&cate=112760,GIGABYTE,6461742,//img.danawa.com/prod_img/500000/742/461/img/6461742_1.jpg?shrink=330:*&_v=20220323154105,6.4cm(2.5형),SATA3 (6Gb/s),,240GB,TLC(기타),,,,500,420,50,75,0,0,3,9,201809,
COLORFUL CN600 M.2 NVMe 디앤디컴,33190.0,https://prod.danawa.com/info/?pcode=15583520&cate=112760,COLORFUL,15583520,//img.danawa.com/prod_img/500000/520/583/img/15583520_1.jpg?shrink=330:*&_v=20211105124604,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe,512GB,TLC(기타),3D낸드,,,"2,200","1,600",nan,nan,0,0,3,0,202111,
Western Digital WD Blue 3D SSD,149220.0,https://prod.danawa.com/info/?pcode=5579669&cate=112760,Western Digital WD,5579669,//img.danawa.com/prod_img/500000/669/579/img/5579669_1.jpg?shrink=330:*&_v=20210401151504,6.4cm(2.5형),SATA3 (6Gb/s),,2TB,TLC(기타),3D낸드,,DRAM 탑재,560,530,95,84,0,0,5,63,201710,
마이크론 Crucial BX500 대원씨티에스,113530.0,https://prod.danawa.com/info/?pcode=11103027&cate=112760,마이크론 Crucial,11103027,//img.danawa.com/prod_img/500000/027/103/img/11103027_1.jpg?shrink=330:*&_v=20220712095826,6.4cm(2.5형),SATA3 (6Gb/s),,2TB,QLC,3D낸드,,,540,500,nan,nan,0,0,3,45,202004,
Western Digital WD Blue 3D M.2 SATA,159000.0,https://prod.danawa.com/info/?pcode=6078371&cate=112760,Western Digital WD,6078371,//img.danawa.com/prod_img/500000/371/078/img/6078371_1.jpg?shrink=330:*&_v=20200513170433,M.2 (2280),SATA3 (6Gb/s),,2TB,,3D낸드,,DRAM 탑재,560,530,95,84,0,0,5,9,201804,
COLORFUL SL500 디앤디컴,28980.0,https://prod.danawa.com/info/?pcode=15585551&cate=112760,COLORFUL,15585551,//img.danawa.com/prod_img/500000/551/585/img/15585551_1.jpg?shrink=330:*&_v=20211118161544,6.4cm(2.5형),SATA3 (6Gb/s),,512GB,TLC(기타),3D낸드,,,500,480,nan,nan,0,0,3,0,202111,
PNY XLR8 CS3040 Gen4 M.2 NVMe 마이크로닉스,132500.0,https://prod.danawa.com/info/?pcode=14268569&cate=112760,PNY,14268569,//img.danawa.com/prod_img/500000/569/268/img/14268569_1.jpg?shrink=330:*&_v=20220121143040,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,2TB,TLC(기타),3D낸드,확인요망,DRAM 탑재,"5,600","4,300",nan,nan,0,0,5,13,202101,
SK하이닉스 Gold S31,,https://prod.danawa.com/info/?pcode=13168232&cate=112760,SK하이닉스,13168232,//img.danawa.com/prod_img/500000/232/168/img/13168232_1.jpg?shrink=330:*&_v=20210323151933,6.4cm(2.5형),SATA3 (6Gb/s),,1TB,TLC(기타),3D낸드,DDR3,DRAM 탑재,560,525,95,87,0,0,5,8,202101,
PNY CS1031 Gen3 M.2 NVMe 마이크로닉스,94070.0,https://prod.danawa.com/info/?pcode=17823668&cate=112760,PNY,17823668,//img.danawa.com/prod_img/500000/668/823/img/17823668_1.jpg?shrink=330:*&_v=20230413155643,M.2 (2280),PCIe3.0x4 (32GT/s),NVMe 1.3,2TB,QLC,3D낸드,,,"2,400","1,750",nan,nan,0,0,5,73,202101,
MSI SPATIUM M450 M.2 NVMe,61700.0,https://prod.danawa.com/info/?pcode=24704597&cate=112760,MSI,24704597,//img.danawa.com/prod_img/500000/597/704/img/24704597_1.jpg?shrink=330:*&_v=20230731141357,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,1TB,TLC(기타),3D낸드,,,3.600,"3,000",420,550,0,0,5,41,202307,
PNY XLR8 CS3040 Gen4 M.2 NVMe 제이씨현,41750.0,https://prod.danawa.com/info/?pcode=13138046&cate=112760,PNY,13138046,//img.danawa.com/prod_img/500000/046/138/img/13138046_1.jpg?shrink=330:*&_v=20210826144152,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,500GB,TLC(기타),3D낸드,확인요망,DRAM 탑재,"5,600","2,600",nan,nan,0,0,5,13,202101,
PNY CS900 제이씨현,17790.0,https://prod.danawa.com/info/?pcode=17970794&cate=112760,PNY,17970794,//img.danawa.com/prod_img/500000/794/970/img/17970794_1.jpg?shrink=330:*&_v=20221018105058,6.4cm(2.5형),SATA3 (6Gb/s),,250GB,TLC(기타),3D낸드,,,535,500,nan,nan,0,0,3,61,202210,
GeIL Zenith P4L M.2 NVMe,136860.0,https://prod.danawa.com/info/?pcode=20352689&cate=112760,GeIL,20352689,//img.danawa.com/prod_img/500000/689/352/img/20352689_1.jpg?shrink=330:*&_v=20230706155440,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.4,2TB,,3D낸드,,,"5,000","4,500",nan,nan,0,0,5,44,202305,
마이크로닉스 WARP GX4 M.2 NVMe,77657.0,https://prod.danawa.com/info/?pcode=19826135&cate=112760,마이크로닉스,19826135,//img.danawa.com/prod_img/500000/135/826/img/19826135_1.jpg?shrink=330:*&_v=20230418113442,M.2 (2280),PCIe4.0x4 (64GT/s),NVMe 1.3,1TB,TLC(기타),3D낸드,확인요망,DRAM 탑재,7.000,5.500,nan,nan,0,0,5,53,202304,
