name,price,link,company,product_seq,image,size,capacity,interface,rpm,transfer_rate,buffer_capacity,recording_method,thickness,as_years,reg_date,bookmark
"Western Digital WD BLACK 7200/256M/해외구매 (WD4005FZBX, 4TB)",203810.0,https://prod.danawa.com/info/?pcode=14860733&cate=112763,Western Digital WD,14860733,//img.danawa.com/prod_img/500000/733/860/img/14860733_1.jpg?shrink=330:*&_v=20210728143835,8.9,4096.0,SATA3 (6Gb/s),7200,202,256.0,0.0,26.1,,201803,
"Seagate BarraCuda 7200/32M/해외구매 (ST500DM009, 500GB)",,https://prod.danawa.com/info/?pcode=7799083&cate=112763,Seagate,7799083,//img.danawa.com/prod_img/500000/083/799/img/7799083_1.jpg?shrink=330:*&_v=20200528093624,8.9,500.0,SATA3 (6Gb/s),7200,210,32.0,2.0,20.0,,201610,
Western Digital WD WD1200JB IDE/7200/8M/해외구매 (120GB),,https://prod.danawa.com/info/?pcode=3343325&cate=112763,Western Digital WD,3343325,//img.danawa.com/prod_img/500000/325/343/img/3343325_1.jpg?shrink=330:*&_v=20220211105137,8.9,120.0,E-IDE,7200,,8.0,,,,201508,
"도시바 MG03ACA 7200/64M/해외구매 (MG03ACA300, 3TB)",149490.0,https://prod.danawa.com/info/?pcode=3320333&cate=112763,도시바,3320333,//img.danawa.com/new/noData/img/noImg_360.gif,8.9,3072.0,SATA3(6Gb/s),7200,,64.0,,,,201507,
"Western Digital WD Caviar Blue PATA100/7200/8M/해외구매 (WD3200AAJB, 320GB)",146710.0,https://prod.danawa.com/info/?pcode=3316492&cate=112763,Western Digital WD,3316492,//img.danawa.com/prod_img/500000/492/316/img/3316492_1.jpg?shrink=330:*&_v=20220210140430,8.9,320.0,PATA100,7200,,8.0,,,,201507,
"Seagate BarraCuda 7200.10 EIDE/7200/2M/해외구매 (ST3160215A, 160GB)",,https://prod.danawa.com/info/?pcode=2664356&cate=112763,Seagate,2664356,//img.danawa.com/prod_img/500000/356/664/img/2664356_1.jpg?shrink=330:*&_v=20200528093628,8.9,160.0,E-IDE,7200,,2.0,,,,201112,
"Western Digital WD Caviar Blue 7200/8M/해외구매 (WD800JB, 80GB)",,https://prod.danawa.com/info/?pcode=3345897&cate=112763,Western Digital WD,3345897,//img.danawa.com/prod_img/500000/897/345/img/3345897_1.jpg?shrink=330:*&_v=20220210141639,8.9,80.0,E-IDE,7200,,8.0,,,,201508,
"Seagate SV35.5 SATA/7200/16M/해외구매 (ST3500410SV, 500GB)",,https://prod.danawa.com/info/?pcode=3320211&cate=112763,Seagate,3320211,//img.danawa.com/prod_img/500000/211/320/img/3320211_1.jpg?shrink=330:*&_v=20220210111303,8.9,500.0,SATA1(1.5Gb/s),7200,,16.0,,,,201507,
"Seagate BarraCuda EIDE/7200/2M/해외구매 (ST320011A, 20GB)",,https://prod.danawa.com/info/?pcode=3320146&cate=112763,Seagate,3320146,//img.danawa.com/prod_img/500000/146/320/img/3320146_1.jpg?shrink=330:*&_v=20220210143107,8.9,20.0,E-IDE,7200,,2.0,,,,201507,
"Seagate BarraCuda 7200.11 7200/해외구매 (ST3500620AS, 500GB)",,https://prod.danawa.com/info/?pcode=3320126&cate=112763,Seagate,3320126,//img.danawa.com/prod_img/500000/126/320/img/3320126_1.jpg?shrink=330:*&_v=20220602101523,8.9,600.0,SATA3(6Gb/s),7200,,,,,,201507,
"Western Digital WD Caviar SE SATA2/7200/8M/해외구매 (WD2500JS, 250GB)",,https://prod.danawa.com/info/?pcode=3318853&cate=112763,Western Digital WD,3318853,//img.danawa.com/prod_img/500000/853/318/img/3318853_1.jpg?shrink=330:*&_v=20220210134954,8.9,250.0,SATA2(3Gb/s),7200,,8.0,,,,201507,
"Western Digital WD Caviar Blue EIDE/7200/16M/해외구매 (WD5000AAKB, 500GB)",,https://prod.danawa.com/info/?pcode=3317151&cate=112763,Western Digital WD,3317151,//img.danawa.com/prod_img/500000/151/317/img/3317151_1.jpg?shrink=330:*&_v=20220210172325,8.9,500.0,E-IDE,7200,,16.0,,,,201507,
Western Digital WD WD1600JB IDE/7200/8M/해외구매 (160GB),,https://prod.danawa.com/info/?pcode=3316967&cate=112763,Western Digital WD,3316967,//img.danawa.com/prod_img/500000/967/316/img/3316967_1.jpg?shrink=330:*&_v=20220210175824,8.9,160.0,E-IDE,7200,,8.0,,,,201507,
"Seagate Constellation ES SATA2/7200/32M/해외구매 (ST3500514NS, 500GB)",147000.0,https://prod.danawa.com/info/?pcode=3315706&cate=112763,Seagate,3315706,//img.danawa.com/prod_img/500000/706/315/img/3315706_1.jpg?shrink=330:*&_v=20220210143900,8.9,500.0,SATA2(3Gb/s),7200,,32.0,,,,201507,
"Seagate BarraCuda Green SATA2/5900/32M/해외구매 (ST2000DL001, 2TB)",,https://prod.danawa.com/info/?pcode=3314828&cate=112763,Seagate,3314828,//img.danawa.com/prod_img/500000/828/314/img/3314828_1.jpg?shrink=330:*&_v=20220210171837,8.9,2048.0,SATA2(3Gb/s),5900,,32.0,,,,201507,
"Western Digital WD Caviar SE EIDE/7200/8M/해외구매 (WD2500JB, 250GB)",,https://prod.danawa.com/info/?pcode=3311469&cate=112763,Western Digital WD,3311469,//img.danawa.com/prod_img/500000/469/311/img/3311469_1.jpg?shrink=330:*&_v=20200529180701,8.9,250.0,E-IDE,7200,,8.0,,,,201507,
"Seagate BarraCuda EIDI/7200/8M/해외구매 (ST3400832A, 400GB)",,https://prod.danawa.com/info/?pcode=3277662&cate=112763,Seagate,3277662,//img.danawa.com/prod_img/500000/662/277/img/3277662_1.jpg?shrink=330:*&_v=20220210170636,8.9,400.0,E-IDE,7200,,8.0,,,,201507,
"Western Digital WD RE HDD 7200/64M/해외구매 (WD5003ABYZ, 500GB)",,https://prod.danawa.com/info/?pcode=3276056&cate=112763,Western Digital WD,3276056,//img.danawa.com/prod_img/500000/056/276/img/3276056_1.jpg?shrink=330:*&_v=20220211111552,8.9,500.0,SATA3(6Gb/s),7200,,64.0,,,,201507,
"Western Digital WD Caviar Green SATA2/5400/32/해외구매 (WD5000AVDS, 500GB)",,https://prod.danawa.com/info/?pcode=3274516&cate=112763,Western Digital WD,3274516,//img.danawa.com/prod_img/500000/516/274/img/3274516_1.jpg?shrink=330:*&_v=20220211110940,8.9,500.0,SATA2(3Gb/s),5400,,32.0,,,,201507,
"Seagate DB35 7200.3 E-IDC/7200/2M/해외구매 (ST3160215ACE , 160GB)",,https://prod.danawa.com/info/?pcode=3253609&cate=112763,Seagate,3253609,//img.danawa.com/prod_img/500000/609/253/img/3253609_1.jpg?shrink=330:*&_v=20200529180701,8.9,160.0,E-IDE,7200,,2.0,,,,201506,
"Seagate BarraCuda 7200.12 SATA2/7200/16M/해외구매 (ST3500418AS, 500GB)",,https://prod.danawa.com/info/?pcode=2970947&cate=112763,Seagate,2970947,//img.danawa.com/prod_img/500000/947/970/img/2970947_1.jpg?shrink=330:*&_v=20200528093627,8.9,500.0,SATA2(3Gb/s),7200,,16.0,,,,201501,
"Seagate BarraCuda 7200.7 EIDE/7200/2M/해외구매 (ST380011A, 80GB)",,https://prod.danawa.com/info/?pcode=2934134&cate=112763,Seagate,2934134,//img.danawa.com/prod_img/500000/134/934/img/2934134_1.jpg?shrink=330:*&_v=20200528093627,8.9,80.0,E-IDE,7200,,2.0,,,,200301,
"Seagate Desktop HDD.15 5900/64M/해외구매 (ST4000DM000, 4TB)",,https://prod.danawa.com/info/?pcode=2934077&cate=112763,Seagate,2934077,//img.danawa.com/prod_img/500000/077/934/img/2934077_1.jpg?shrink=330:*&_v=20200528173228,8.9,4096.0,SATA3(6Gb/s),5900,,64.0,,,,201303,
"Western Digital WD Caviar Blue EIDE/7200/8M/해외구매 (WD1600AAJB, 160GB)",,https://prod.danawa.com/info/?pcode=2900209&cate=112763,Western Digital WD,2900209,//img.danawa.com/prod_img/500000/209/900/img/2900209_1.jpg?shrink=330:*&_v=20200528100050,8.9,160.0,SATA2(3Gb/s),7200,,8.0,,,,201211,
"Seagate BarraCuda 7200.12 7200/16M/해외구매 (ST3500413AS, 500GB)",,https://prod.danawa.com/info/?pcode=2850298&cate=112763,Seagate,2850298,//img.danawa.com/prod_img/500000/298/850/img/2850298_1.jpg?shrink=330:*&_v=20200528093627,8.9,500.0,SATA2(3Gb/s),7200,,16.0,,,,201409,
"Seagate BarraCuda 7200/16M/해외구매 (ST500DM002, 500GB)",,https://prod.danawa.com/info/?pcode=2706389&cate=112763,Seagate,2706389,//img.danawa.com/prod_img/500000/389/706/img/2706389_1.jpg?shrink=330:*&_v=20200528093628,8.9,500.0,SATA3(6Gb/s),7200,,16.0,,,,201110,
"Western Digital WD Caviar Green SATA2/32M/해외구매 (WD20EADS, 2TB)",,https://prod.danawa.com/info/?pcode=2703551&cate=112763,Western Digital WD,2703551,//img.danawa.com/prod_img/500000/551/703/img/2703551_1.jpg?shrink=330:*&_v=20200528171405,8.9,2048.0,SATA2(3Gb/s),,,32.0,,,,201112,
"Seagate BarraCuda 7200.10 EIDE/7200/16M/해외구매 (ST3500630A, 500GB)",,https://prod.danawa.com/info/?pcode=2701509&cate=112763,Seagate,2701509,//img.danawa.com/prod_img/500000/509/701/img/2701509_1.jpg?shrink=330:*&_v=20200528093628,8.9,500.0,E-IDE,7200,,16.0,,,,201110,
"Western Digital WD Caviar Blue E-IDE/7200/8M/해외구매 (WD2500AAJB, 250GB)",,https://prod.danawa.com/info/?pcode=2701485&cate=112763,Western Digital WD,2701485,//img.danawa.com/prod_img/500000/485/701/img/2701485_1.jpg?shrink=330:*&_v=20200528100050,8.9,250.0,E-IDE,7200,,8.0,,,,201310,
"도시바 DT01 7200/32M/해외구매 (DT01ACA100, 1TB)",42640.0,https://prod.danawa.com/info/?pcode=2233367&cate=112763,도시바,2233367,//img.danawa.com/prod_img/500000/367/233/img/2233367_1.jpg?shrink=330:*&_v=20200528112851,8.9,1024.0,SATA3(6Gb/s),7200,,32.0,,,,201309,
"Seagate BarraCuda 7200.10 EIDE/7200/16M (ST3320620A, 320GB)",,https://prod.danawa.com/info/?pcode=161437&cate=112763,Seagate,161437,//img.danawa.com/prod_img/large/group_322/161437_1.jpg?shrink=330:*&_v=20200528091103,8.9,320.0,E-IDE,7200,,16.0,,26.1,,200607,
"Seagate BarraCuda 7200.8 EIDE/7200/8M (ST3250823A, 250GB)",,https://prod.danawa.com/info/?pcode=66982&cate=112763,Seagate,66982,//img.danawa.com/prod_img/large/group_133/66982_1.jpg?shrink=330:*&_v=20200528091107,8.9,250.0,E-IDE,7200,,8.0,,26.1,,200412,
