name,count
RTX A1000 Laptop GPU,9495
GeForce GTX 780 Ti,9475
Radeon Ryzen 9 4900HSS,9461
Radeon R9 390X,9447
Intel Arc Pro A60,9409
GeForce RTX 3050 Laptop GPU,9389
Quadro P2200,9383
Radeon Pro 5600M,9381
Quadro M5000,9371
Quadro P3200 with Max-Q Design,9247
Radeon RX 5500 XT,9183
Radeon Pro W5500,9122
GRID P40-2B4,9111
Quadro P4000 with Max-Q Design,9083
Quadro P3200,9061
Tesla P4,9032
GeForce GTX TITAN Black,9011
Radeon R9 390,9000
GeForce GTX TITAN Z,8987
GRID P40-8Q,8967
GeForce GTX 1060 5GB,8946
Radeon RX 580,8910
Radeon RX 5500,8835
Intel Arc A770,8791
Radeon RX 480,8673
GeForce GTX 1660 Ti with Max-Q Design,8660
Radeon R9 290X,8660
Radeon R9 295X2,8638
Radeon RX590 GME,8569
Quadro RTX 3000 with Max-Q Design,8507
GRID RTX6000-1B,8473
Radeon R9 290X / 390X,8389
Ryzen 5 4600HS with Radeon Graphics,8371
Radeon R9 290,8367
Radeon Pro Duo,8296
Radeon Pro 5500 XT,8264
Intel Arc A750,8261
Tesla V100-PCIE-32GB,8260
Radeon RX 5600M,8219
GeForce GTX Titan,8200
GeForce GTX 1060 (Mobile),8161
Radeon R9 290 / 390,8150
Radeon RX 470/570,8050
Quadro K6000,8044
GeForce GTX 780,8026
Ryzen 9 6900HS,8005
Radeon PRO W6400,7991
Radeon RX 6500M,7939
FirePro W9100,7928
Radeon Pro WX 7100,7922
GeForce GTX 1060 with Max-Q Design,7922
Quadro M5500,7915
GeForce GTX 1650,7858
Radeon RX 580X,7798
T1200 Laptop GPU,7792
Tesla M60,7771
Radeon RX 580 2048SP,7753
Radeon Pro 580,7753
T1000,7654
Radeon RX 5300,7652
T1000 8GB,7585
GeForce GTX 1650 Ti,7556
Radeon Pro 580X,7540
Tesla M6,7509
Radeon RX 6400,7454
GeForce GTX 980M,7379
FirePro W8100,7279
Radeon Pro 5300,7230
Tesla P100-PCIE-16GB,7225
Radeon 780M,7221
Radeon Ryzen 9 4900HS,7186
Quadro T2000,7138
GeForce RTX 3050 4GB Laptop GPU,7103
T600 Laptop GPU,7069
RadeonT 780M,7067
A10-8Q,7042
Quadro M5000M,7031
GeForce RTX 2050,7023
Ryzen 7 4800HS with Radeon Graphics,6999
GeForce GTX 1650 (Mobile),6969
Radeon Pro W5500X,6967
RTX A500 Laptop GPU,6956
Intel Arc A770M,6955
Quadro P2000,6925
Quadro T2000 with Max-Q Design,6913
Ryzen 7 6800HS with Radeon Graphics,6867
Radeon Ryzen 9 6900HS,6861
Radeon Pro 5500M,6817
Radeon RX 6500,6802
GeForce GTX 970XM FORCE,6707
Radeon R9 285,6680
Quadro T1000 with Max-Q Design,6675
Quadro M4000,6661
Radeon Ryzen 7 6800HS,6657
Quadro P3000,6622
Quadro T1000,6612
Radeon RX Vega M GH,6581
Radeon Pro WX 7130,6578
T600,6481
AMD Ryzen Z1 Extreme,6461
GeForce GTX 1650 Ti with Max-Q Design,6390
Radeon Pro 570,6337
Ryzen 9 6900HS with Radeon Graphics,6331
GeForce GTX 1050 Ti,6302
Radeon R9 380X,6242
Radeon R9 280X,6241
Quadro M4000M,6239
Radeon R9 380,6229
Radeon 680M Ryzen 7 7735HS,6180
FirePro W9000,6138
P106-100,6106
GeForce GTX 1650 with Max-Q Design,6103
GeForce MX570 A,6069
Radeon Ryzen 9 7950X 16-Core,6067
GeForce MX570,6040
GeForce GTX 960,6039
Quadro K5200,6015
Radeon Pro 5300M,5986
GRID P100-16Q,5945
Tesla K80,5940
GeForce GTX 1050 Ti (Mobile),5919
GeForce GTX 770,5901
Ryzen 9 PRO 6950H with Radeon Graphics,5828
A16,5797
Ryzen 9 PRO 6950H,5759
Radeon Ryzen 7 PRO 6850H,5750
GeForce GTX 970M,5724
Radeon Ryzen 7 7736U,5688
Radeon PRO Ryzen 7 PRO 6850U,5678
Radeon Pro WX 5100,5653
Radeon Ryzen 7 7735H,5626
Ryzen 9 5900HS with Radeon Graphics,5612
Radeon R9 280,5596
Ryzen 7 PRO 6850U,5581
NVIDIA A40-12Q,5573
Radeon Ryzen 7 6800H,5566
Radeon HD 7990,5566
Radeon R9 285 / 380,5550
GeForce GTX 680,5537
GRID M60-8A,5523
GeForce GTX 690,5515
Quadro M3000M,5499
GeForce GTX 760 Ti OEM,5427
Ryzen 9 6900HX,5416
Radeon Ryzen 7 6800HS Creator Edition,5373
Radeon RX 5500M,5365
GRID P40-4Q,5365
GeForce GTX 1050 Ti with Max-Q Design,5361
GeForce GTX 950,5345
Ryzen 7 6800HS Creator Edition,5345
FirePro W7100,5321
GeForce GTX 670,5308
Ryzen 7 7735HS with Radeon Graphics,5307
Radeon Ryzen 7 7735HS,5302
Radeon Pro Vega 20,5264
Radeon Ryzen 9 6900HX,5264
Radeon 760M,5261
Radeon HD 7970 / R9 280X,5248
Ryzen 7 6800H,5248
Ryzen 7 6800HS,5237
Intel Arc Pro A40/A50,5224
Radeon HD 8990,5214
GRID M60-2Q,5203
Radeon Ryzen 7 PRO 6850HS,5166
Q12U-1,5164
Radeon Ryzen 7 PRO 6850U,5152
Radeon R9 M295X,5150
GeForce GTX 760 Ti,5145
Quadro P2000 with Max-Q Design,5132
GeForce GTX 1050 3GB,5116
Ryzen 7 PRO 6860Z,5077
Radeon Ryzen 7 7735U,5074
Ryzen 9 PRO 6950HS with Radeon Graphics,5068
FirePro S9000,5059
GRID T4-16Q,5055
EIZO Quadro MED-XN51LP,5048
GeForce GTX 1050,5044
Ryzen 7 PRO 6850U with Radeon Graphics,5043
Radeon R9 M395X,5038
Radeon R9 M395,5024
Ryzen 7 6800U,5006
GeForce GTX 1630,4991
Radeon Ryzen 7 4800HS,4984
Radeon Instinct MI25 MxGPU,4979
Barco MXRT 7600,4944
Ryzen 7 6800H with Radeon Graphics,4922
Radeon R9 270X,4912
FirePro S9050,4901
Ryzen 7 6800U with Radeon Graphics,4845
GRID P40-2Q,4844
T550 Laptop GPU,4793
Ryzen 7 PRO 6860Z with Radeon Graphics,4789
GRID RTX6000P-6Q,4777
GeForce GTX 760,4776
FirePro S10000,4768
Radeon HD 7950 / R9 280,4765
Radeon Sky 500,4736
GRID P40-24Q,4728
Radeon R9 370,4722
Radeon Pro Vega 16,4683
Ryzen 9 6900HX with Radeon Graphics,4680
GRID V100D-2Q,4668
Radeon Pro WX Vega M GL,4643
Radeon HD 7870,4637
Radeon Ryzen 7 PRO 6860Z,4637
Matrox LUMA A310F,4560
B8DKMDAP,4557
GeForce MX550,4543
GeForce GTX 580,4539
Radeon Pro 465,4538
FirePro S7000,4524
Radeon Ryzen 7 6800U,4520
GRID T4-8Q,4519
Radeon R7 370,4514
Tesla K40c,4495
Radeon HD 7870 XT,4470
GeForce GTX 1050 (Mobile),4462
GRID M60-1B,4457
Citrix Indirect Display Adapter,4447
GRID P6-4Q,4429
Quadro P1000,4417
GeForce GTX 660 Ti,4373
FirePro W7000 Adapter,4362
GRID GTX P40-6,4340
Tesla K20m,4331
Quadro K4200,4315
Quadro M2200,4315
Radeon RX 5300M,4307
Radeon R9 270,4306
GRID RTX6000P-4Q,4283
FirePro W7000,4260
Radeon R9 270 / R7 370,4260
GRID M60-1Q,4251
RTXA6000-8Q,4237
NVIDIA A40-4Q,4230
NVIDIA A40-8Q,4220
Radeon Ryzen 5 7535HS,4180
Intel Arc A380,4174
Radeon Ryzen 5 6600H,4160
GRID V100D-8Q,4156
GeForce GTX 680MX,4142
Radeon RX 460,4113
FirePro W8000,4096
Radeon 660M Ryzen 5 7535HS,4078
Radeon PRO Ryzen 5 PRO 6650U,4067
RadeonT 660M Ryzen 5 7535HS,4042
GeForce GTX 480,4040
Radeon HD 7800-serie,4029
Radeon Ryzen 7 4800H,4010
GeForce GTX 660,3998
P104-100,3996
A40-24Q,3973
Quadro K5000,3973
GRID RTX8000-4Q,3961
Quadro M2000,3953
GeForce GTX 1050 with Max-Q Design,3938
GRID P6-2Q,3926
GeForce GTX 570,3916
Radeon Ryzen 9 PRO 6950HS,3902
GeForce GTX 780M,3901
GeForce GTX 750 Ti,3901
GRID M60-8Q,3884
Radeon Ryzen 9 7900 12-Core,3883
Radeon HD 8970M,3876
Intel Arc A310,3876
Radeon Ryzen 5 6600HS Creator Edition,3851
Radeon HD 7850,3850
Radeon Ryzen 5 7535U,3850
Radeon HD 7970M,3847
GRID RTX8000P-2Q,3843
GRID P100-8Q,3841
GRID M60-4Q,3831
GRID V100-2Q,3811
GeForce GTX 880M,3790
Radeon Pro WX 4100,3764
Barco MXRT 7500,3753
Ryzen 7 PRO 6850HS with Radeon Graphics,3736
GeForce MX450,3733
Ryzen 5 PRO 6650H with Radeon Graphics,3727
GeForce GTX 965M,3717
Eng Sample: 100-000000545-40_Y,3692
T400 4GB,3691
Matrox LUMA A310,3690
Ryzen 5 6600HS Creator Edition,3686
Ryzen 5 7535HS with Radeon Graphics,3680
Radeon Pro 560X,3678
Ryzen 5 6600H with Radeon Graphics,3674
T500,3662
Radeon R9 M485X,3661
Radeon Ryzen 5 PRO 6650U,3651
Intel Arc A370M,3646
Radeon RX 560,3641
Radeon RX Vega M GL,3623
T400,3619
Quadro P620,3588
Ryzen 5 PRO 6650U with Radeon Graphics,3575
GRID RTX8000-2Q,3574
GeForce GTX 680M KY_Bullet Edition,3569
GRID M6-8Q,3568
Radeon Ryzen 5 6600U,3563
Quadro K2200,3545
Ryzen 5 7535U with Radeon Graphics,3529
Ryzen 5 PRO 6650U,3519
GRID K520,3516
Quadro 7000,3505
Tesla M10,3490
Radeon Pro 560,3475
Quadro M2000M,3455
GeForce GTX 775M,3454
Radeon Pro 460,3453
GRID T4-2Q,3451
GeForce GTX 870M,3449
Quadro K2200M,3441
Tesla C2050 / C2070,3428
NVIDIA A10-4Q,3425
Radeon R9 M470X,3400
GeForce GTX 960M,3398
Radeon HD8970M,3369
Radeon E8870PCIe,3368
GeForce GTX 750,3358
GRID M10-1Q,3351
Radeon Ryzen 9 7900X 12-Core,3349
GeForce GTX 650 Ti BOOST,3349
Radeon R9 M390X,3346
GeForce GTX 590,3341
Tesla C2050,3323
GRID P4-8Q,3299
Tesla K40m,3281
Quadro M1200,3273
GRID T4-4Q,3260
Quadro P600,3249
GeForce 770M,3246
Eng Sample: 100-000000534-40_Y,3237
Radeon R9 M290X,3234
Ryzen 5 6600U with Radeon Graphics,3233
Ryzen 7 5800HS with Radeon Graphics,3214
GeForce GTX 680M,3206
Radeon RX 560X,3195
Radeon R9 260,3182
Radeon R7 260X,3165
FirePro V7000,3162
FirePro W7170M,3162
Radeon Pro 555,3141
Quadro K5100M,3121
Radeon Pro 455,3113
Tesla C2075,3093
Intel G35 Express,3090
Radeon HD 7790,3090
GeForce GTX 470,3082
Radeon R7 360,3070
GeForce GTX 860M,3047
EIZO MED-X5000,3038
GeForce GTX 560 Ti,3033
Radeon R9 360,3032
Radeon HD 6990,3013
GRID M10-4Q,2977
FirePro W5100,2969
FirePro W5000,2965
GRID K260Q,2949
Tesla K20Xm,2918
Ryzen 9 5900HX with Radeon Graphics,2915
Quadro M1000M,2904
Radeon R7 260,2892
Quadro K1200,2891
Ryzen 7 PRO 4700G with Radeon Graphics,2880
Radeon Ryzen 7 5800HS,2876
Eng Sample: 100-000000261-50_Y,2860
Radeon Pro V340 MxGPU,2853
Tesla C2070,2840
GRID K280Q,2840
Radeon HD 6970,2830
Quadro M620,2827
GeForce MX350,2826
FirePro W4300,2813
FirePro 3D V9800,2812
Ryzen 7 5700G with Radeon Graphics,2806
GeForce GTX 770M,2791
Radeon R9 M380,2770
Quadro K5000M,2763
Radeon Ryzen 9 5900H,2755
Custom GPU 0405,2752
FirePro M6100 FireGL V,2749
Radeon Ryzen 9 5980HS,2749
GeForce GTX 675MX,2748
Ryzen 7 5800H with Radeon Graphics,2748
GRID K2,2737
FirePro S7150,2727
FirePro V9800,2727
Radeon Pro 450,2723
GeForce GTX 560,2716
Ryzen 9 4900H with Radeon Graphics,2714
Quadro K4000,2703
GRID T4-1Q,2703
Barco MXRT 5500,2702
Radeon RX 550,2701
Radeon Ryzen 7 5800H,2700
Quadro 6000,2696
GRID M10-2Q,2692
Radeon Ryzen 7 4700GE,2686
Intel Iris Xe,2685
GeForce GTX 465,2684
Ryzen 7 Pro 4750G with Radeon Graphics,2682
Radeon HD 8950,2680
Radeon Eng Sample: 100-000000300-40_Y,2670
Ryzen 7 5700GE with Radeon Graphics,2656
FirePro R5000,2647
Quadro K4100M,2640
GRID P6-4A,2639
MONSTER GeForce GTX 675M,2637
Ryzen 7 PRO 7730U with Radeon Graphics,2634
Radeon Ryzen 7 PRO 7730U,2631
Radeon HD 6950,2630
GRID M10-8Q,2606
Ryzen 5 5600GE with Radeon Graphics,2602
GRID T4-2B,2601
Radeon Ryzen 7 PRO 4750G,2599
Radeon Ryzen 7 4700G,2597
GeForce GTX 950M,2591
Ryzen 5 5600G with Radeon Graphics,2574
Radeon Ryzen 9 4900H,2571
GeForce GTX 950A,2568
Ryzen 7 PRO 4750GE with Radeon Graphics,2550
Ryzen 7 PRO 5750GE with Radeon Graphics,2547
GRID K240Q,2541
GeForce GTX 650 Ti,2535
GeForce GTX 850M,2535
Radeon HD 6850 X2,2534
Ryzen 9 5980HS with Radeon Graphics,2534
FireStream 9370,2528
N18E-Q1,2525
Ryzen 5 PRO 5650G with Radeon Graphics,2501
Ryzen 7 4700GE with Radeon Graphics,2496
GeForce GT 1030,2489
Radeon Pro WX 3100,2489
Radeon Ryzen 5 5600GE,2471
GeForce MX330,2471
Barco MXRT 5600,2466
Radeon Ryzen 7 7700X 8-Core,2466
Radeon Eng Sample: 100-000000146-40_42/35_Y,2464
Ryzen 5 PRO 5650GE with Radeon Graphics,2459
Radeon Ryzen 7 7730U,2458
Ryzen 7 PRO 5750G with Radeon Graphics,2443
GeForce MX250,2442
FirePro 3D V8800,2438
Radeon Ryzen 5 5600H,2429
Ryzen 5 Pro 4650G with Radeon Graphics,2423
Radeon Eng Sample: 100-000000262-30_Y,2416
Ryzen 5 4600G with Radeon Graphics,2412
GeForce GTX 960A,2411
Ryzen 5 5600H with Radeon Graphics,2411
Radeon Pro WX 3200,2408
Radeon RX Vega 11 PRD,2402
Ryzen 7 7730U with Radeon Graphics,2400
Radeon Pro WX 4150,2396
Radeon Ryzen 7 5800U,2395
Radeon Ryzen 7 5825U,2379
Ryzen 5 PRO 7530U with Radeon Graphics,2372
Radeon Eng Sample: 100-000000285-40_Y,2365
GeForce GTX 485M,2360
FirePro W6150M,2358
Ryzen 7 5800U with Radeon Graphics,2358
Ryzen 5 7530U with Radeon Graphics,2356
Ryzen 7 4800U with Radeon Graphics,2344
P106-090,2343
GRID M10-2B,2333
Radeon R9 M470,2331
Radeon Pro,2325
Ryzen 7 5825U with Radeon Graphics,2319
GRID M10-1B,2310
Radeon HD 5970,2308
Ryzen 5 PRO 4400G with Radeon Graphics,2306
FirePro V7900,2305
Radeon Ryzen 5 4400G,2296
Ryzen 3 PRO 5350G with Radeon Graphics,2290
Radeon Ryzen 7 4800U,2288
FirePro V8800,2281
Radeon RX Vega Ryzen 5 5500U,2280
GeForce MX150,2279
Ryzen 7 PRO 5850U with Radeon Graphics,2277
Radeon Ryzen 5 PRO 5650GE,2275
Radeon Ryzen 7 5700U,2275
Radeon RX 550X,2275
Radeon Ryzen 7 Microsoft Surface Edition,2273
Radeon Ryzen 7 5800HS Creator Edition,2271
Radeon HD 6970M,2270
Radeon R7 250X,2269
Quadro K3100M,2268
Intel HD 5600,2264
Ryzen 5 4600H with Radeon Graphics,2263
Radeon Vega 11 Ryzen 5 PRO 3350G,2261
Intel UHD Graphics P630,2257
GeForce GTX 460,2256
Ryzen 3 4300GE with Radeon Graphics,2252
Ryzen 7 5700U with Radeon Graphics,2247
Quadro K620,2238
Ryzen 3 PRO 5350GE with Radeon Graphics,2233
Radeon Ryzen 7 PRO 4750GE,2231
Intel Iris Pro P580,2231
Ryzen 7 Extreme Edition,2227
GRID P100-1B,2223
Radeon Ryzen 5 7530U,2220
Radeon HD 6870,2216
Radeon HD 5870,2215
Radeon Ryzen 5 PRO 4655GE,2201
Ryzen 7 4700G with Radeon Graphics,2187
Ryzen 5 5600U with Radeon Graphics,2182
Radeon Ryzen 5 PRO 5650G,2178
Radeon HD 7770,2172
Radeon Ryzen 5 5625U,2164
GeForce GTX 745,2150
FirePro M6100,2148
Quadro M600M,2146
Radeon RX Vega 11 Ryzen 5 3400G,2144
Ryzen 3 Pro 4350G with Radeon Graphics,2144
Radeon Ryzen 7 4850U Mobile,2138
RadeonT RX Vega 11,2131
Radeon Ryzen 3 PRO 7330U,2126
Radeon RX Vega 11,2125
Radeon Ryzen 5 5500U,2120
Ryzen 5 5560U with Radeon Graphics,2114
Ryzen 7 4800H with Radeon Graphics,2113
Radeon Ryzen 5 7600 6-Core,2107
Radeon TM R9 A360,2105
FirePro M5100,2103
Quadro P520,2100
Radeon Ryzen 7 PRO 5875U,2090
Radeon Ryzen 5 Microsoft Surface Edition,2088
Ryzen 5 PRO 4650GE with Radeon Graphics,2086
Radeon Ryzen 5 PRO 4500U,2078
Radeon Ryzen 5 5600U,2076
GeForce GTX 580M,2074
GRID M6-1Q,2069
Ryzen 7 PRO 5875U with Radeon Graphics,2067
GeForce 945M,2063
Quadro 5000M,2060
Radeon RX Vega 11 Ryzen 5 3400GE,2057
Radeon Ryzen 7 4700U,2053
Ryzen 5 PRO 5650U with Radeon Graphics,2040
Ryzen 7 4700U with Radeon Graphics,2034
Ryzen 7 PRO 4750U with Radeon Graphics,2030
Radeon Ryzen 7 PRO 4750U,2030
FirePro V7800,2028
Radeon R9 350,2019
GeForce GTX 460 SE,2011
Radeon Pro W5500M,2010
Intel Iris Xe MAX,2010
Ryzen 5 5500U with Radeon Graphics,2008
Ryzen 5 PRO 4500U with Radeon Graphics,2008
GeForce GT 645,2006
Ryzen 3 5300GE with Radeon Graphics,2005
Radeon R9 M385X,1994
Ryzen 5 5625U with Radeon Graphics,1991
GeForce GTX 765M,1989
Intel Iris Pro 580,1988
Ryzen 3 PRO 7330U with Radeon Graphics,1985
Radeon R7 + R7 350 Dual,1982
Radeon Ryzen Embedded V2718,1982
Radeon HD 5850,1980
Radeon Ryzen 5 5560U,1977
Radeon HD 6850,1971
Ryzen 3 5300G with Radeon Graphics,1969
Radeon R7 + HD 7700 Dual,1962
Radeon HD 7660D + HD 7700 Dual,1958
Radeon Vega 8 Ryzen 3 3200G,1956
GeForce GTX 470M,1953
Radeon R7 450,1938
Intel Iris Xe MAX 100,1927
GeForce GTX 460 v2,1927
GeForce GTX 675M,1925
Qualcomm Adreno 8cx Gen 3,1924
Quadro 5000,1924
Radeon RX 570X,1923
GeForce GTX 670MX,1921
Radeon HD 7560D + 7700 Dual,1919
GeForce GTX 560 SE,1914
Matrox C680 PCIe x16,1904
Radeon HD 7700-serie,1899
Radeon RX 540,1897
Ryzen 3 4300G with Radeon Graphics,1897
RadeonT Vega 8,1894
Radeon HD 8670D + HD 7700 Dual,1892
Radeon RX 640,1888
Ryzen 5 4600U with Radeon Graphics,1878
Radeon Pro WX 4130,1878
Ryzen 3 PRO 4350GE with Radeon Graphics,1876
GeForce GTX 570M,1874
Quadro M520,1870
GeForce GTX 645,1869
Quadro K4000M,1868
FirePro 3D V7800,1867
Radeon Vega 11 Ryzen 5 PRO 3400G,1864
Radeon Eng Sample: 100-000000287-40_Y,1862
GeForce MX130,1859
Radeon RX Vega 11 Ryzen 7 3750H,1856
Radeon R9 M385,1853
GeForce 945A,1852
Radeon Ryzen Embedded V2748,1842
FirePro M5100 FireGL V,1839
GRID M60-0B,1838
GeForce MX230,1836
Radeon HD 8570D + HD 7700 Dual,1835
Radeon RX Vega 10 Ryzen 7 3750H,1829
MxGPU,1826
Radeon Vega 11,1825
Radeon R9 M360,1824
Intel Iris Plus,1824
Intel UHD Graphics 770,1824
FirePro M6000,1820
Ryzen 5 4500U with Radeon Graphics,1816
Matrox C900 PCIe x16,1812
Radeon Ryzen 5 PRO 5675U,1805
Radeon Pro WX 2100,1801
Radeon HD 8870M / R9 M270X / M370X,1800
Radeon RX Vega 11 Processor,1799
Ryzen 3 PRO 4200G with Radeon Graphics,1799
Embedded Radeon E9173,1798
Radeon Ryzen 5 4600GE with Radeon Graphics,1793
Radeon HD 8670D + 7700 Dual,1789
Radeon Ryzen 3 PRO 5450U,1779
Radeon RX Vega 10 Ryzen 5 3500U,1778
Quadro 5010M,1772
Radeon R9 M375X,1771
PCI\VEN_1002&DEV_164E&SUBSYS_D0001458&REV_C7 Ryzen,1767
Radeon Ryzen 5 7600X 6-Core,1764
Ryzen 3 7330U with Radeon Graphics,1759
Radeon Vega 11 Ryzen 5 PRO 3400GE w/,1756
GeForce GTX 650,1752
FirePro M6000 Mobility Pro,1750
Radeon Ryzen 5 PRO 7645 6-Core,1749
Ryzen 3 PRO 4200GE with Radeon Graphics,1748
Radeon Ryzen Embedded R2544,1748
Intel Iris Plus 655,1747
GeForce GTX 670M,1746
Intel UHD Graphics 750,1745
Ryzen 5 PRO 5675U with Radeon Graphics,1733
Radeon Ryzen 9 PRO 7945 12-Core,1731
Radeon HD 5830,1730
Intel Iris Plus 645,1727
Intel UHD Graphics P750,1726
Radeon Ryzen 3 7330U,1724
Radeon 550,1723
Radeon Vega 8 Ryzen 3 3200GE,1722
